40 chan · luoi GOC 21498 moc · nua dau 9.5n · nua sau 5.5n

CHAN DON, xep theo NUA SAU:
chan                                                   nua dau   nua sau
AUDCAD.H4.rsi_dao_chieu|tp2                              3.12%    16.80%
AUDCAD.H4.rsi_dao_chieu|goc                              0.91%    15.16%
US500CASH.D1.mean_reversion_z5|trail1                    9.70%    12.74%
EURGBP.H4.ou_quay_ve|tp2                                -0.50%    12.28%
AUDCAD.H4.ou_quay_ve|tp2                                 1.55%    11.94%
AUDCAD.H4.ou_quay_ve|trail1                             -0.10%    10.60%
EURGBP.H4.ou_quay_ve|trail2                             -1.07%     9.52%
EURGBP.H4.ou_quay_ve|tp1                                -1.48%     9.42%

GHEP CO HON CHAN DON TOT NHAT TRONG NO KHONG:
  nua dau  nua sau  chan don tot nhat  ghep THEM
   19.28%    4.23%              7.72%     -3.49%
   19.25%    4.60%              7.72%     -3.12%
   19.22%    4.60%              7.72%     -3.13%
   18.98%    4.51%              7.72%     -3.21%
   18.90%    4.24%              7.72%     -3.48%
   18.61%    6.16%              7.94%     -1.78%
   18.57%    6.47%             16.80%    -10.33%
   17.96%    3.71%              7.72%     -4.02%
   17.84%    4.17%              7.72%     -3.55%
   17.79%    4.71%              7.72%     -3.02%
   17.73%    4.00%              3.53%      0.47%
   17.62%    4.37%              7.47%     -3.10%
   17.48%    3.92%              3.53%      0.39%
   17.45%    5.14%              7.72%     -2.58%
   17.38%    4.28%              7.47%     -3.19%
   17.35%    6.22%             16.80%    -10.57%
   17.35%    4.42%              7.72%     -3.31%
   17.33%    5.91%              7.94%     -2.03%
   17.24%    3.88%              7.72%     -3.84%
   17.11%    5.38%              8.24%     -2.86%

ghep THEM: trung vi -3.16%  ·  so o duong 2/20
