  44/3280 co che BI BO vi khai bao hong:
       37  thieu truong bat buoc 'co_che'
        2  'co_che' phai la MOT CAU giai thich vi sao co nguoi tra tien cho phoi 
        2  vao[0]: hai ve GIONG HET nhau - dieu kien khong mang thong tin
        1  vao[0]: trong mot bar 'close' >= 'low' LUON dung, nen 'close cheo_len 
        1  vao[0]: trong mot bar 'close' <= 'high' LUON dung, nen 'close >= high'
        1  vao[0]: trong mot bar 'close' >= 'low' LUON dung, nen 'close <= low' k
kho 135 -> dich duoc 136, bo 0
  bien dich xong (136 co che)
  chay optimization 136 pass ...

136 pass, 20.3s  
lot 5 - von 10.000 USD - 2021.03.19 -> 2026.07.29 (5.36 nam)

co che                                       lenh       lai     PF  sharpe     DD%  %/nam@DD20
__mua_giu__                                    17    132.06   1.18    0.04    4.26       +1.13
ns_nen_nen_dac_<_q2_giu10                     145    -23.24   0.98   -0.06    1.72       -0.51
ns_nen_rau_duoi_>_q98_giu10                    74    -24.20   0.95   -0.12    2.25       -0.41
ns_nen_bua_>_q98_giu10                         74    -24.20   0.95   -0.12    2.25       -0.41
ns_nen_rau_duoi_>_q90_giu10                   323   -164.57   0.93   -0.21    4.49       -1.41
ns_nen_bua_>_q90_giu10                        323   -164.57   0.93   -0.21    4.49       -1.41
ns_nen_rau_duoi_>_q95_giu10                   189   -152.51   0.89   -0.33    4.00       -1.47
ns_nen_bua_>_q95_giu10                        189   -152.51   0.89   -0.33    4.00       -1.47
ns_nen_bua_<_q20_giu10                        575   -525.95   0.88   -0.37    8.21       -2.53
ns_nen_nen_dac_<_q5_giu10                     305   -337.23   0.85   -0.44    4.61       -2.90
ns_nen_rau_duoi_>_q80_giu10                   496   -535.74   0.86   -0.44    8.01       -2.64
ns_nen_bua_>_q80_giu10                        496   -535.74   0.86   -0.44    8.01       -2.64
ns_nen_nen_dac_<_q20_giu10                    586   -695.89   0.84   -0.49    8.11       -3.45
ns_nen_rau_tren_>_q80_giu10                   594   -829.34   0.83   -0.57   11.28       -2.92
ns_nen_sao_bang_>_q80_giu10                   594   -829.34   0.83   -0.57   11.28       -2.92
ns_nen_nen_dac_>_q80_giu10                    501   -712.64   0.81   -0.58    9.74       -2.91
ns_nen_rau_duoi_>_q98_giu5                     75    -67.54   0.82   -0.62    2.12       -1.22
ns_nen_bua_>_q98_giu5                          75    -67.54   0.82   -0.62    2.12       -1.22
ns_nen_doji_>_q80_giu10                       559   -916.38   0.80   -0.65   10.47       -3.52
ns_nen_doji_>_q90_giu10                       426   -695.80   0.79   -0.66    9.45       -2.93
ns_nen_rau_tren_>_q90_giu10                   484   -869.88   0.78   -0.73    9.36       -3.76
ns_nen_sao_bang_>_q90_giu10                   484   -869.88   0.78   -0.73    9.36       -3.76
ns_nen_nen_dac_>_q90_giu10                    347   -626.25   0.77   -0.75    8.84       -2.81
ns_nen_doji_>_q90_giu5                        566   -582.97   0.82   -0.82    7.21       -3.24
ns_nen_nen_dac_<_q10_giu10                    446   -881.16   0.75   -0.82    8.98       -3.99

moc mua-giu o cung rui ro: +1.13%/nam  ->  0/135 co che hon moc
